2384,kiran,Tallapakam,32,01/01/2000,male,kiran.Tallapakam@gmail.com,1234567893
2385,prasanna,Tallapakam,34,01/01/2000,male,prasanna.Tallapakam@gmail.com,1234567894
2386,ramesh,Tallapakam,36,01/01/2000,male,ramesh.Tallapakam@gmail.com,1234567895
2387,naresh,Tallapakam,47,01/01/2000,female,naresh.Tallapakam@gmail.com,1234567896
2388,suresh,Tallapakam,41,01/01/2000,female,suresh.Tallapakam@gmail.com,1234567897
2389,pushpa,Tallapakam,14,01/01/2000,male,pushpa.Tallapakam@gmail.com,1234567898
2390,swapna,Tallapakam,32,01/01/2000,female,swapna.Tallapakam@gmail.com,1234567899
2391,harsha,Tallapakam,45,01/01/2000,male,harsha.Tallapakam@gmail.com,1234567890
2392,bhuna,Tallapakam,40,01/01/2000,male,bhuna.Tallapakam@gmail.com,1234567891
2393,kishore,Tallapakam,42,01/01/2000,male,kishore.Tallapakam@gmail.com,1234567892
2394,kiran,Tallapakam,32,01/01/2000,male,kiran.Tallapakam@gmail.com,1234567893
2395,prasanna,Tallapakam,34,01/01/2000,male,prasanna.Tallapakam@gmail.com,1234567894
2396,ramesh,Tallapakam,36,01/01/2000,male,ramesh.Tallapakam@gmail.com,1234567895
2397,naresh,Tallapakam,47,01/01/2000,female,naresh.Tallapakam@gmail.com,1234567896
2398,suresh,Tallapakam,41,01/01/2000,female,suresh.Tallapakam@gmail.com,1234567897
2399,pushpa,Tallapakam,14,01/01/2000,male,pushpa.Tallapakam@gmail.com,1234567898
2400,swapna,Tallapakam,32,01/01/2000,female,swapna.Tallapakam@gmail.com,1234567899
2401,harsha,Tallapakam,45,01/01/2000,male,harsha.Tallapakam@gmail.com,1234567890
2402,bhuna,Tallapakam,40,01/01/2000,male,bhuna.Tallapakam@gmail.com,1234567891
2403,kishore,Tallapakam,42,01/01/2000,male,kishore.Tallapakam@gmail.com,1234567892
2404,kiran,Tallapakam,32,01/01/2000,male,kiran.Tallapakam@gmail.com,1234567893
2405,prasanna,Tallapakam,34,01/01/2000,male,prasanna.Tallapakam@gmail.com,1234567894
2406,ramesh,Tallapakam,36,01/01/2000,male,ramesh.Tallapakam@gmail.com,1234567895
2407,naresh,Tallapakam,47,01/01/2000,female,naresh.Tallapakam@gmail.com,1234567896
2408,suresh,Tallapakam,41,01/01/2000,female,suresh.Tallapakam@gmail.com,1234567897
2409,pushpa,Tallapakam,14,01/01/2000,male,pushpa.Tallapakam@gmail.com,1234567898
